CustomerID,Age,Gender,Location,JoinDate
502,36,Other,East,03/07/21
503,63,Other,West,04/07/21
504,20,Other,South,05/07/21
505,19,Female,West,06/07/21
506,54,Other,South,08/07/21
507,34,Male,North,09/07/21
508,45,Female,West,10/07/21
509,35,Other,South,11/07/21
510,50,Male,North,12/07/21
511,32,Male,North,13/07/21
512,39,Female,East,14/07/21
513,58,Male,North,15/07/21
514,44,Other,East,16/07/21
515,54,Male,North,17/07/21
516,49,Other,North,19/07/21
517,62,Other,,20/07/21
518,36,Female,South,21/07/21
519,45,Male,East,22/07/21
520,45,Female,West,23/07/21
521,27,Female,South,24/07/21
522,37,Female,North,25/07/21
523,42,Other,East,26/07/21
524,38,Other,East,27/07/21
525,31,Other,East,28/07/21
526,39,Other,North,29/07/21
527,43,Male,South,31/07/21
528,61,Male,West,01/08/21
529,28,Other,East,02/08/21
530,24,Other,North,03/08/21
531,34,Male,South,04/08/21
532,35,Female,South,05/08/21
533,24,Female,West,06/08/21
534,37,Other,East,07/08/21
535,55,Female,North,08/08/21
536,28,Other,South,09/08/21
537,61,Other,North,11/08/21
538,33,Other,South,12/08/21
539,68,Male,East,13/08/21
540,44,Female,East,14/08/21
541,68,Male,West,15/08/21
542,28,Female,South,16/08/21
543,33,Male,North,17/08/21
544,40,Male,South,18/08/21
545,29,Other,North,19/08/21
546,57,Other,West,20/08/21
547,20,Male,South,22/08/21
548,19,Female,East,23/08/21
549,55,Female,North,24/08/21
550,65,Other,East,25/08/21
551,69,Other,West,26/08/21
552,41,Female,West,27/08/21
553,46,Female,North,28/08/21
554,64,Female,South,29/08/21
555,63,Other,East,30/08/21
556,51,Female,East,31/08/21
557,37,Other,North,01/09/21
558,35,Male,North,03/09/21
559,31,Male,North,04/09/21
560,35,Male,West,05/09/21
561,19,Female,West,06/09/21
562,18,Other,East,07/09/21
563,37,Female,South,08/09/21
564,51,Other,North,09/09/21
565,58,Female,West,10/09/21
566,58,Male,South,11/09/21
567,65,Other,North,12/09/21
568,28,Female,South,14/09/21
569,44,Other,North,15/09/21
570,40,Other,South,16/09/21
571,55,Female,East,17/09/21
572,61,Female,North,18/09/21
573,20,Other,North,19/09/21
574,29,Other,East,20/09/21
575,47,Male,North,21/09/21
576,48,Other,North,22/09/21
577,40,Male,West,23/09/21
578,18,Male,East,25/09/21
579,58,Male,West,26/09/21
580,37,Other,East,27/09/21
581,23,Male,South,28/09/21
582,28,Other,East,29/09/21
583,52,Other,East,30/09/21
584,21,Female,West,01/10/21
585,46,Other,North,02/10/21
586,27,Other,East,03/10/21
587,68,Male,North,04/10/21
588,46,Other,East,05/10/21
589,55,Other,West,07/10/21
590,18,Female,East,08/10/21
591,57,Female,South,09/10/21
592,25,Male,East,10/10/21
593,55,Male,East,11/10/21
594,34,Female,North,12/10/21
595,36,Female,North,13/10/21
596,50,Other,South,14/10/21
597,32,Male,East,15/10/21
598,62,Male,North,16/10/21
599,48,Other,East,18/10/21
600,38,Other,West,19/10/21
601,20,Male,West,20/10/21
602,19,Female,South,21/10/21
603,52,Female,West,22/10/21
604,58,Other,North,23/10/21
605,33,Male,North,24/10/21
606,62,Other,South,25/10/21
607,68,Female,East,26/10/21
608,67,Female,North,27/10/21
609,38,Other,West,29/10/21
610,29,Female,North,30/10/21
611,45,Male,South,31/10/21
612,29,Other,West,01/11/21
613,50,Other,West,02/11/21
614,37,Other,West,03/11/21
615,57,Female,South,04/11/21
616,66,Male,South,05/11/21
617,38,Other,East,06/11/21
618,69,Other,East,07/11/21
619,56,Female,East,09/11/21
620,58,Male,South,10/11/21
621,66,Other,West,11/11/21
622,59,Female,West,12/11/21
623,53,Other,North,13/11/21
624,39,Female,East,14/11/21
625,43,Male,West,15/11/21
626,24,Female,West,16/11/21
627,24,Other,West,17/11/21
628,25,Other,West,18/11/21
629,43,Female,South,19/11/21
630,41,Male,East,21/11/21
631,41,Male,West,22/11/21
632,57,Other,West,23/11/21
633,65,Other,West,24/11/21
634,29,Female,West,25/11/21
635,64,Female,North,26/11/21
636,25,Female,West,27/11/21
637,26,Male,West,28/11/21
638,20,Male,West,29/11/21
639,38,Other,North,30/11/21
640,48,Other,South,02/12/21
641,65,Other,North,03/12/21
642,64,Female,West,04/12/21
643,41,Male,South,05/12/21
644,21,Other,West,06/12/21
645,37,Other,South,07/12/21
646,33,Other,West,08/12/21
647,27,Other,West,09/12/21
648,60,Other,South,10/12/21
649,43,Other,South,11/12/21
650,46,Male,West,13/12/21
651,22,Other,North,14/12/21
652,28,Male,North,15/12/21
653,46,Female,North,16/12/21
654,62,Male,North,17/12/21
655,32,Female,South,18/12/21
656,23,Male,South,19/12/21
657,65,Male,North,20/12/21
658,32,Other,East,21/12/21
659,60,Male,East,22/12/21
660,37,Male,East,23/12/21
661,51,Other,West,25/12/21
662,19,Female,North,26/12/21
663,61,Other,West,27/12/21
664,33,Other,South,28/12/21
665,36,Other,South,29/12/21
666,51,Female,East,30/12/21
667,66,Male,East,31/12/21
668,131,Male,,01/01/22
669,41,Other,East,02/01/22
670,45,Other,East,03/01/22
671,65,Male,South,05/01/22
672,49,Male,West,06/01/22
673,54,Male,East,07/01/22
674,27,Female,West,08/01/22
675,66,Female,East,09/01/22
676,62,Other,North,10/01/22
677,65,Female,West,11/01/22
678,26,Other,West,12/01/22
679,41,Male,East,13/01/22
680,53,Male,West,14/01/22
681,46,Other,North,16/01/22
682,46,Male,South,17/01/22
683,65,Other,North,18/01/22
684,40,Other,South,19/01/22
685,44,Other,North,20/01/22
686,48,Female,North,21/01/22
687,60,Other,West,22/01/22
688,24,Other,North,23/01/22
689,66,Other,East,24/01/22
690,62,Female,East,25/01/22
691,21,Male,East,26/01/22
692,31,Female,East,28/01/22
693,59,Other,West,29/01/22
694,59,Female,East,30/01/22
695,27,Male,North,31/01/22
696,61,Male,East,01/02/22
697,51,Other,West,02/02/22
698,43,Male,South,03/02/22
699,40,Female,North,04/02/22
700,26,Female,North,05/02/22
701,54,Male,West,06/02/22
702,25,Other,South,08/02/22
703,31,Other,East,09/02/22
704,24,Female,South,10/02/22
705,24,Male,North,11/02/22
706,26,Female,North,12/02/22
707,20,Female,North,13/02/22
708,31,Female,South,14/02/22
709,34,Other,East,15/02/22
710,67,Male,North,16/02/22
711,61,Male,West,17/02/22
712,39,Other,East,19/02/22
713,63,Female,North,20/02/22
714,43,Female,East,21/02/22
715,45,Other,West,22/02/22
716,62,Male,South,23/02/22
717,31,Other,North,24/02/22
718,26,Male,West,25/02/22
719,68,Male,North,26/02/22
720,43,Male,North,27/02/22
721,19,Female,South,28/02/22
722,28,Female,South,02/03/22
723,34,Other,East,03/03/22
724,51,Other,West,04/03/22
725,36,Female,West,05/03/22
726,56,Other,South,06/03/22
727,35,Female,North,07/03/22
728,30,Female,East,08/03/22
729,22,Male,South,09/03/22
730,67,Male,East,10/03/22
731,40,Female,East,11/03/22
732,41,Male,West,12/03/22
733,46,Female,East,14/03/22
734,65,Male,West,15/03/22
735,64,Other,North,16/03/22
736,25,Other,North,17/03/22
737,43,Female,South,18/03/22
738,32,Female,North,19/03/22
739,18,Male,West,20/03/22
740,45,Male,East,21/03/22
741,66,Female,East,22/03/22
742,64,Other,North,23/03/22
743,63,Other,West,25/03/22
744,31,Female,East,26/03/22
745,59,Other,North,27/03/22
746,51,Female,West,28/03/22
747,48,Male,West,29/03/22
748,23,Other,East,30/03/22
749,66,Other,South,31/03/22
750,22,Male,South,01/04/22
751,48,Male,West,02/04/22
752,54,Other,West,03/04/22
753,32,Other,North,05/04/22
754,32,Female,West,06/04/22
755,69,Female,North,07/04/22
756,60,Other,North,08/04/22
757,22,Female,North,09/04/22
758,45,Male,West,10/04/22
759,50,Female,West,11/04/22
760,28,Female,North,12/04/22
761,60,Other,East,13/04/22
762,23,Female,West,14/04/22
763,40,Other,South,15/04/22
764,57,Other,East,17/04/22
765,19,Other,South,18/04/22
766,32,Male,West,19/04/22
767,40,Female,East,20/04/22
768,39,Female,West,21/04/22
769,26,Female,West,22/04/22
770,64,Other,East,23/04/22
771,57,Male,West,24/04/22
772,47,Other,East,25/04/22
773,33,Female,West,26/04/22
774,63,Other,North,28/04/22
775,64,Other,South,29/04/22
776,69,Female,North,30/04/22
777,47,Other,West,01/05/22
778,62,Other,West,02/05/22
779,26,Male,West,03/05/22
780,18,Other,North,04/05/22
781,55,Male,West,05/05/22
782,25,Female,East,06/05/22
783,69,Male,South,07/05/22
784,35,Other,West,09/05/22
785,44,Female,West,10/05/22
786,35,Other,South,11/05/22
787,49,Other,South,12/05/22
788,66,Male,South,13/05/22
789,49,Other,North,14/05/22
790,65,Male,North,15/05/22
791,62,Female,West,16/05/22
792,53,Female,South,17/05/22
793,53,Other,West,18/05/22
794,38,Male,West,19/05/22
795,63,Other,West,21/05/22
796,49,Other,North,22/05/22
797,48,Other,South,23/05/22
798,54,Other,West,24/05/22
799,33,Male,North,25/05/22
800,63,Other,East,26/05/22
801,63,Female,East,27/05/22
802,31,Male,West,28/05/22
803,41,Other,West,29/05/22
804,42,Male,South,30/05/22
805,63,Other,South,01/06/22
806,68,Female,West,02/06/22
807,52,Female,North,03/06/22
808,34,Female,West,04/06/22
809,63,Male,South,05/06/22
810,59,Female,South,06/06/22
811,62,Other,North,07/06/22
812,21,Other,West,08/06/22
813,28,Other,South,09/06/22
814,64,Male,West,10/06/22
815,32,Male,South,12/06/22
816,47,Female,East,13/06/22
817,41,Male,East,14/06/22
818,19,Other,East,15/06/22
819,60,Other,South,16/06/22
820,51,Other,North,17/06/22
821,40,Male,East,18/06/22
822,48,Other,South,19/06/22
823,54,Female,West,20/06/22
824,30,Male,East,21/06/22
825,50,Other,North,23/06/22
826,24,Other,North,24/06/22
827,49,Male,North,25/06/22
828,24,Male,West,26/06/22
829,59,Female,West,27/06/22
830,55,Male,North,28/06/22
831,69,Other,North,29/06/22
832,61,Female,North,30/06/22
833,30,Other,West,01/07/22
834,41,Other,West,02/07/22
835,45,Other,South,03/07/22
836,49,Male,East,05/07/22
837,60,Male,West,06/07/22
838,35,Other,North,07/07/22
839,51,Male,East,08/07/22
840,65,Other,West,09/07/22
841,51,Male,East,10/07/22
842,68,Male,South,11/07/22
843,55,Male,West,12/07/22
844,18,Female,North,13/07/22
845,60,Male,North,14/07/22
846,67,Female,South,16/07/22
847,59,Female,South,17/07/22
848,48,Female,South,18/07/22
849,67,Other,South,19/07/22
850,18,Male,South,20/07/22
851,68,Other,West,21/07/22
852,33,Female,West,22/07/22
853,56,Male,East,23/07/22
854,32,Other,South,24/07/22
855,50,Female,North,25/07/22
856,40,Other,North,27/07/22
857,58,Other,South,28/07/22
858,51,Male,South,29/07/22
859,34,Male,South,30/07/22
860,42,Other,South,31/07/22
861,59,Male,South,01/08/22
862,23,Male,North,02/08/22
863,48,Other,East,03/08/22
864,22,Male,South,04/08/22
865,57,Male,South,05/08/22
866,57,Female,South,06/08/22
867,47,Male,West,08/08/22
868,22,Female,North,09/08/22
869,29,Other,North,10/08/22
870,24,Female,East,11/08/22
871,62,Other,West,12/08/22
872,30,Male,West,13/08/22
873,66,Male,West,14/08/22
874,21,Female,East,15/08/22
875,67,Other,East,16/08/22
876,59,Male,East,17/08/22
877,20,Female,West,19/08/22
878,29,Female,North,20/08/22
879,18,Female,West,21/08/22
880,44,Male,East,22/08/22
881,60,Other,West,23/08/22
882,67,Male,South,24/08/22
883,30,Male,West,25/08/22
884,34,Other,West,26/08/22
885,25,Female,North,27/08/22
886,49,Male,North,28/08/22
887,37,Female,North,30/08/22
888,68,Female,South,31/08/22
889,34,Other,North,01/09/22
890,51,Other,South,02/09/22
891,52,Other,East,03/09/22
892,52,Female,North,04/09/22
893,55,Female,West,05/09/22
894,59,Male,West,06/09/22
895,41,Female,South,07/09/22
896,35,Other,North,08/09/22
897,67,Other,West,09/09/22
898,63,Other,East,11/09/22
899,65,Other,North,12/09/22
900,56,Female,East,13/09/22
901,50,Other,West,14/09/22
902,66,Male,North,15/09/22
903,40,Female,South,16/09/22
904,42,Other,West,17/09/22
905,54,Male,East,18/09/22
906,44,Other,North,19/09/22
907,18,Female,East,20/09/22
908,38,Female,East,22/09/22
909,66,Male,South,23/09/22
910,27,Female,South,24/09/22
911,48,Male,West,25/09/22
912,61,Other,South,26/09/22
913,42,Female,South,27/09/22
914,37,Other,West,28/09/22
915,19,Other,West,29/09/22
916,65,Female,West,30/09/22
917,32,Other,West,01/10/22
918,45,Male,East,03/10/22
919,30,Male,East,04/10/22
920,67,Male,West,05/10/22
921,69,Female,West,06/10/22
922,31,Other,North,07/10/22
923,67,Other,North,08/10/22
924,19,Other,North,09/10/22
925,51,Other,South,10/10/22
926,52,Male,East,11/10/22
927,54,Female,East,12/10/22
928,42,Male,North,14/10/22
929,65,Male,North,15/10/22
930,32,Female,East,16/10/22
931,29,Female,South,17/10/22
932,26,Male,North,18/10/22
933,48,Other,West,19/10/22
934,31,Female,North,20/10/22
935,46,Female,East,21/10/22
936,65,Male,East,22/10/22
937,60,Other,North,23/10/22
938,55,Female,North,24/10/22
939,59,Male,West,26/10/22
940,25,Female,West,27/10/22
941,65,Other,South,28/10/22
942,20,Male,South,29/10/22
943,19,Male,West,30/10/22
944,33,Other,South,31/10/22
945,36,Male,South,01/11/22
946,47,Other,North,02/11/22
947,58,Male,West,03/11/22
948,33,Other,North,04/11/22
949,48,Female,North,06/11/22
950,45,Female,South,07/11/22
951,21,Female,North,08/11/22
952,27,Male,East,09/11/22
953,68,Other,South,10/11/22
954,62,Other,East,11/11/22
955,35,Female,South,12/11/22
956,64,Female,North,13/11/22
957,49,Female,South,14/11/22
958,47,Other,East,15/11/22
959,53,Female,South,17/11/22
960,26,Male,East,18/11/22
961,53,Female,West,19/11/22
962,46,Female,North,20/11/22
963,33,Other,East,21/11/22
964,45,Male,West,22/11/22
965,38,Other,North,23/11/22
966,64,Male,West,24/11/22
967,19,Male,East,25/11/22
968,63,Female,North,26/11/22
969,52,Female,West,27/11/22
970,45,Other,East,29/11/22
971,53,Other,West,30/11/22
972,48,Other,North,01/12/22
973,50,Male,North,02/12/22
974,40,Other,North,03/12/22
975,58,Male,East,04/12/22
976,34,Male,West,05/12/22
977,63,Male,West,06/12/22
978,66,Male,East,07/12/22
979,18,Male,North,08/12/22
980,59,Female,South,10/12/22
981,40,Male,North,11/12/22
982,65,Male,South,12/12/22
983,44,Female,North,13/12/22
984,42,Female,East,14/12/22
985,49,Female,South,15/12/22
986,36,Other,East,16/12/22
987,41,Other,South,17/12/22
988,20,Male,West,18/12/22
989,29,Male,South,19/12/22
990,52,Male,South,21/12/22
991,32,Male,South,22/12/22
992,34,Female,West,23/12/22
993,67,Other,East,24/12/22
994,49,Female,West,25/12/22
995,24,Other,South,26/12/22
996,36,Female,North,27/12/22
997,24,Male,West,28/12/22
998,22,Other,,29/12/22
999,57,Male,West,30/12/22
1000,38,Other,West,01/01/23